eval_id,question,category,source,chapter,generated_answer,reference_answer,faithfulness_score,answer_relevance_score,reference_alignment_score,hallucination,retrieved_source_hit,retrieved_chapter_hit
qa_012,운용 대장 목록은 어떻게 조회해?,절차,manual_chapter2.json,2.3.1,제공된 문서들에는 운용 대장 목록 조회에 대한 정보가 포함되어 있지 않습니다. 다른 자료를 참조하시기 바랍니다.,"물품 운용 대장 목록을 조회하려면 [물품 운용 대장 관리] 페이지의 상단의 검색 영역에서 'G2B목록명', '운용부서', '운용상태', 'G2B목록번호', '물품고유번호', '취득일자', '정리일자'의 조건을 입력한 후 [조회] 버튼을 누릅니다. 이후 하단에 뜨는 '물품 운용 대장 목록'을 통해 대장 목록 조회가 가능하며, 상세 정보를 보고자 하는 물품의 체크박스를 클릭한 후 우측 상단의 [물품상세정보]를 클릭하면 상세 정보 조회가 가능합니다.",5,5,1,False,False,False
qa_013,운용 정보 수정은 어떻게 해?,절차,manual_chapter2.json,2.3.2,"운용 정보를 수정하려면, 먼저 해당 물품의 상세 페이지로 이동하세요. '물품 상세 정보' 페이지에서 '물품기본정보' 영역의 '비고' 등 필요한 항목을 수정합니다. 그런 다음, [저장] 버튼을 클릭하면 수정된 내용이 상단 정보에 반영되고, 하단 '물품 상태 이력' 리스트에 변경 건에 대한 새로운 행이 자동으로 추가됩니다.","운용 정보를 수정하려면 먼저 '물품 운용 대장 목록'에서 수정할 물품의 체크박스를 클릭한 후 우측 상단의 [물품상세정보] 버튼을 클릭합니다. 이후 이동한 [물품 상세 정보] 페이지에서 상단의 '물품 기본 정보' 중 수정하고자 하는 항목('내용연수', '취득금액', '비고' 항목만 수정 가능)의 내용을 변경한 후 우측 상단의 [저장] 버튼을 누르면 변경사항이 저장되며 하단의 '물품 상태 이력'에 변경된 사항에 관한 행이 새로 추가됩니다. 이후 우측 상단의 [목록] 버튼을 누르면 다시 [물품 운용 대장 관리] 페이지로 이동하며, 변경된 사항이 적용된 '물품 운용 대장 목록'을 확인할 수 있습니다.",5,5,4,False,True,True
qa_014,물품 라벨은 어떻게 출력해?,절차,manual_chapter2.json,2.3.3,"물품 라벨을 출력하려면, 먼저 [출력물 관리] 페이지로 이동하세요. 출력상태(미출력/출력)와 G2B정보 등을 입력하여 조회 조건을 설정한 후 [조회] 버튼을 누릅니다. 그런 다음, 목록에서 출력할 물품의 체크박스를 클릭하고 우측 상단의 [출력] 버튼을 눌러 라벨을 출력할 수 있습니다.","신규 취득했거나 라벨이 훼손된 물품의 라벨을 출력하려면, 먼저 [물품 운용 관리] 페이지 아래에 뜨는 [출력물 관리] 페이지로 이동합니다. 이후 상단의 검색 영역에서 'G2B목록명', '운용부서', 'G2B목록번호', '물품고유번호', '출력상태(전체/미출력/출력)', '취득일자', '정리일자' 조건을 설정한 후 [조회] 버튼을 누릅니다. 이후 하단에 뜨는 '출력 대상 물품 목록'에서 출력할 물품의 체크박스를 클릭하고 우측 상단의 [출력] 버튼을 눌러 라벨을 출력할 수 있습니다.",5,5,4,False,True,True
qa_015,물품고유번호가 뭐야?,식별,manual_chapter2.json,2.4,"물품고유번호는 각 물품을 식별하기 위해 부여되는 고유한 번호입니다. 물품의 취득이 확정되면 시스템이 각 물품에 유니크한 ID를 부여하며, 동일한 G2B 모델이라도 각각 다른 고유번호를 가집니다. 예를 들어, 노트북 10대를 구매했다면 각각의 노트북에 대해 10개의 서로 다른 고유번호가 생성됩니다. 이를 통해 각 물품을 개별적으로 관리하고 추적할 수 있습니다.","물품고유번호는 취득이 확정되면 시스템이 각 물품에 부여하는 유니크한 ID입니다. 동일한 G2B 모델이라도 각각 다른 고유번호를 가지며, 예를 들어 노트북 10대를 구매했다면 10개의 서로 다른 고유번호가 생성됩니다.",5,5,5,False,True,True
qa_016,물품 반납 관리가 뭐야?,물품 반납 관리,manual_chapter3.json,3.1,"제공된 문서에 따르면, 물품 반납 관리는 메인 페이지에서 진행할 수 있는 절차입니다. 이 페이지에서는 등록된 반납 건들의 목록과 승인 상태(대기/반려/확정)를 조회할 수 있으며, 신규 반납을 시작할 수도 있습니다. 반납일자와 승인상태를 검색 조건으로 사용할 수 있으며, 목록 영역은 상단에 반납 등록 목록을, 하단에 반납 물품 상세 정보를 보여줍니다. 관리 버튼을 통해 '대기' 또는 '반려' 상태의 반납 건에 대해 수정/삭제가 가능하며, 관리자에게 확정을 요청하거나 요청을 취소할 수 있습니다.","물품 반납은 운용 부서에서 물품을 더 이상 사용하지 않거나, 고장 등의 사유로 사용할 수 없게 되어 물품을 관리 부서에게 되돌려 보내는 절차입니다. 등록자가 반납을 등록하고 승인 요청을 하면, 관리자의 확정을 통해 최종 결정됩니다. [홈 화면]에서 상단의 메뉴 중 [물품 관리] 클릭, 이후 이동한 페이지의 좌측 리스트 중 [물품 반납 관리]를 클릭하여 [물품 반납 관리] 페이지로 들어갈 수 있습니다.",5,5,4,False,True,True
qa_017,반납 사유에는 어떤 것들이 있어?,물품 반납 관리,manual_chapter3.json,3.1,제공된 문서에는 반납 사유에 대한 구체적인 정보가 없습니다.,"반납 사유로는 '사용연한경과', '고장/파손', '불용결정', '사업종료', '잉여물품'이 존재합니다.",5,5,2,False,True,True
qa_018,반납일자와 반납확정일자의 차이가 뭐야?,물품 반납 관리,manual_chapter3.json,3.1,"제공된 문서에 따르면, 반납일자와 반납확정일자는 다음과 같은 차이가 있습니다:

- **반납일자**: 문서에서 직접적으로 언급되지는 않았지만, 일반적으로 반납일자는 물품이 실제로 반납된 날짜를 의미할 수 있습니다.
- **반납확정일자**: 관리자가 물품 반납을 최종적으로 '확정' 처리한 날짜입니다. 이는 물품이 반납 절차를 완료하고 공식적으로 기록된 날짜를 의미합니다.

따라서 반납일자는 물품이 물리적으로 반납된 날짜일 수 있고, 반납확정일자는 관리자가 시스템상에서 반납을 승인한 날짜입니다.","반납일자는 물품의 반납을 시스템에 '등록'한 날짜를 의미하며, 반납확정일자는 등록한 물품에 대하여 관리자가 반납을 '확정'한 날짜를 의미합니다.",3,4,3,True,True,True
qa_019,신규 물품 반납 등록 절차를 알려줘.,물품 반납 관리,manual_chapter3.json,3.3.1,"신규 물품 반납 등록 절차는 다음과 같이 진행됩니다:

1. [물품 반납 관리] 페이지에서 시작합니다.
2. [등록] 버튼을 눌러 G2B 목록번호 등을 조회합니다.
3. 하단 운용 대장 목록에서 반납할 물품을 선택하여 '반납 물품 목록'으로 옮깁니다.
4. 사유와 물품 상태 등 필수 정보를 입력하고 [저장]합니다.
5. 메인 페이지로 돌아와 해당 건을 선택하고 [승인 요청] 버튼을 클릭합니다.","[물품 반납 관리] 페이지 우측 상단의 [등록] 버튼을 클릭하여 [반납 등록] 페이지로 이동한 후, 상단의 검색 영역에서 'G2B목록명', '운용부서', '운용상태', 'G2B목록번호', '물품고유번호', '취득일자', '정리일자' 항목을 입력한 후 [조회] 버튼을 클릭합니다. 하단에 뜨는 '물품 운용 대장 목록' 중에서 반납 처리할 물품의 체크박스를 클릭합니다. 이는 하단의 '선택 물품 목록'에 뜨게 되며, 최종적으로 반납 처리 할 물품의 체크박스를 클릭한 후 하단의 '반납 등록 정보'의 '반납일자', '등록자ID', '물품상태', '사유'를 선택한 후 [저장] 버튼을 클릭합니다.",5,5,4,False,True,True
qa_020,물품 반납 승인요청과 승인취소는 어떻게 해?,물품 반납 관리,manual_chapter3.json,3.3.2,"물품 반납 승인 요청을 하려면, 물품 반납 관리 메인 페이지에서 해당 반납 건을 선택한 후 [승인 요청] 버튼을 클릭하여 관리자에게 확정을 요청할 수 있습니다. 승인 취소를 하려면, 동일한 페이지에서 [승인 취소] 버튼을 눌러 요청을 거둘 수 있습니다.","[물품 반납 관리] 페이지에서 상단의 검색 영역에서 '반납일자', '승인상태(전체/대기/반려/확정)'을 입력하여 [조회] 합니다. 이후 하단에 뜨는 '반납 등록 목록'에서 승인 요청을 보낼 물품을 선택한 후 하단의 '반납 물품 목록'에 뜨는 물품들 중 해당하는 물품을 클릭하고 우측 상단의 [승인요청] 버튼을 눌러 관리자에게 확정을 요청하면 됩니다. 승인취소는 요청을 보낸 물품들 중 승인상태가 '대기', '반려'인 것에 한정하여 요청을 취소할 물품을 선택한 후 우측 상단의 [요청취소] 버튼을 누르면 관리자에게 보낸 요청이 취소됩니다.",5,5,4,False,True,False
qa_021,등록한 반납 물품 정보를 수정하려면 어떻게 해?,물품 반납 관리,manual_chapter3.json,3.3.3,"등록한 반납 물품 정보를 수정하려면, 먼저 [물품 반납 관리] 페이지로 이동하세요. 승인상태가 '대기' 또는 '반려'인 경우에만 수정이 가능합니다. 메인 페이지에서 수정할 항목을 선택한 후, 하단의 상세 목록을 체크하고 [수정] 버튼을 클릭하세요. 필요한 내용을 변경한 후 [저장] 버튼을 눌러 수정 내용을 저장합니다.","'반납 등록 목록'에서 수정할 물품을 선택한 후 하단에 뜨는 '반납 물품 목록'에서 해당하는 물품을 클릭합니다. 이후 우측 상단의 [수정] 버튼을 클릭하여 [반납 등록] 페이지로 넘어온 후, 하단의 '반납 등록 정보'에서 '반납일자', '등록자ID', '물품상태', '사유' 중 수정할 항목을 수정한 뒤 우측 [저장] 버튼을 누르면 수정사항이 반영됩니다.",5,5,4,False,True,False
qa_022,등록된 물품 반납 목록을 삭제하는 방법은 뭐야?,물품 반납 관리,manual_chapter3.json,3.3.3,"등록된 물품 반납 목록을 삭제하려면, 메인 페이지에서 목록을 선택한 후 하단의 상세 목록을 체크하고 [삭제] 버튼을 클릭하면 됩니다.","'반납 등록 목록'에서 삭제하고자 하는 물품을 선택한 후 하단에 뜨는 '반납 물품 목록'에서 해당하는 물품을 클릭합니다. 그리고 우측 상단의 [삭제] 버튼을 클릭하면 됩니다. 단, 승인상태가 '대기' 혹은 '반려'인 경우에만 삭제할 수 있습니다.",5,5,4,False,True,False
