eval_id,question,category,classification,refined_query,retrieved_count,filtered_count,final_context_count,final_context_doc_types,final_context_categories,attribution_doc_ids,answer_preview
qa_011,물품의 운용이란 어떠한 과정이야?,절차,NEED_RAG,물품 운용 과정이란 무엇인가?,25,25,2,manual_chunk|qa,물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.1_000|qa_0029,제공된 매뉴얼 근거만으로는 확인하기 어렵습니다.
qa_012,운용 대장 목록은 어떻게 조회해?,절차,NEED_RAG,운용 대장 목록 조회 방법,25,25,3,manual_chunk|manual_chunk|manual_chunk,물품 불용 관리|물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.4_008|manual_manual_chapter4.json_4.2.2_002|manual_manual_chapter4.json_4.2.1_001,제공된 매뉴얼 근거만으로는 운용 대장 목록 조회 방법을 확인하기 어렵습니다.
qa_013,운용 정보 수정은 어떻게 해?,절차,NEED_RAG,운용 정보 수정 절차는 어떻게 되나요?,25,14,2,manual_chunk|manual_chunk,일반|일반,manual_manual_chapter2.json_2.3.2_006|manual_manual_chapter2.json_2.3.4_008,"운용 정보 수정을 위해서는 다음 절차를 따르시면 됩니다:

1. [물품 관리] 메뉴에서 [물품 운용 대장 관리]로 이동한 후, [물품 상세 정보] 페이지로 들어갑니다.
2. '물품기본정보' 영역에서 '내용연수', '취득금액', '비고' 항목 중 수정할 부분을 클릭하여 수정합니다.
3. 수정이 완료되면 우측 상단의 [저장] 버튼을 클릭합니다.
4. 변경된 내용은 '물품 기본 정보'에 반영되며, 하단의 '물품 상태 이력' 리스트에 새로운 행이 추가됩니다. 또한, '물품 운용 대장 목록'에서도 변경된 사항이 적용됩니다."
qa_014,물품 라벨은 어떻게 출력해?,절차,NEED_RAG,물품 라벨 출력 방법은?,25,2,2,manual_chunk|qa,물품 취득 관리|절차,manual_manual_chapter2.json_2.3.5_009|qa_0014,"신규 취득했거나 라벨이 훼손된 물품의 라벨을 출력하려면, 다음 절차를 따르세요:

1. [물품 관리] 메뉴에서 [출력물 관리] 페이지로 이동합니다.
2. 상단의 검색 영역에서 'G2B목록명', '운용부서', 'G2B목록번호', '물품고유번호', '출력상태(전체/미출력/출력)', '취득일자', '정리일자' 등의 조건을 설정한 후 [조회] 버튼을 누릅니다.
3. 하단에 나타나는 '출력 대상 물품 목록'에서 출력할 물품의 체크박스를 클릭합니다.
4. 우측 상단의 [출력] 버튼을 눌러 라벨을 출력합니다."
qa_015,물품고유번호가 뭐야?,식별,NEED_RAG,물품고유번호의 정의 또는 의미는 무엇인가요?,25,12,2,manual_chunk|manual_chunk,물품 취득 관리|물품 취득 관리,manual_manual_chapter2.json_2.4_011|manual_manual_chapter2.json_2.1_000,"물품고유번호는 물품의 취득 시 부여되는 고유한 식별자로서, 물품 운용 기간 내내 해당 물품을 추적하고 관리하는 데 사용되는 핵심적인 관리 기준입니다."
qa_016,물품 반납 관리가 뭐야?,물품 반납 관리,NEED_RAG,물품 반납 관리 절차는 무엇인가요?,25,25,4,manual_chunk|manual_chunk|qa|qa,물품 반납 관리|물품 반납 관리|물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.1_000|manual_manual_chapter3.json_3.3.4_007|qa_0023|qa_0016,"물품 반납 관리는 운용 부서에서 물품을 더 이상 사용하지 않거나, 고장 등의 사유로 사용할 수 없게 되어 물품을 관리 부서에게 되돌려 보내는 절차입니다. 등록자가 반납을 등록하고 승인 요청을 하면, 관리자의 확정을 통해 최종 결정됩니다. [홈 화면]에서 상단의 메뉴 중 [물품 관리]를 클릭한 후, 이동한 페이지의 좌측 리스트 중 [물품 반납 관리]를 클릭하여 [물품 반납 관리] 페이지로 들어갈 수 있습니다."
qa_017,반납 사유에는 어떤 것들이 있어?,물품 반납 관리,NEED_RAG,"""물품 반납 사유 종류""",25,25,3,manual_chunk|manual_chunk|qa,물품 반납 관리|물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.1_000|manual_manual_chapter3.json_3.2.2_002|qa_0017,"반납 사유로는 '사용연한경과', '고장/파손', '불용결정', '사업종료', '잉여물품'이 있습니다."
qa_018,반납일자와 반납확정일자의 차이가 뭐야?,물품 반납 관리,NEED_RAG,반납일자와 반납확정일자의 차이점은 무엇인가요?,25,4,3,manual_chunk|faq|qa,물품 반납 관리|개념비교|물품 반납 관리,manual_manual_chapter3.json_3.1_000|faq_process_01|qa_0018,"반납일자는 물품의 반납을 시스템에 '등록'한 날짜를 의미하며, 반납확정일자는 등록한 물품에 대하여 관리자가 반납을 '확정'한 날짜를 의미합니다."
qa_019,신규 물품 반납 등록 절차를 알려줘.,물품 반납 관리,NEED_RAG,신규 물품 반납 등록 절차 안내.,25,7,4,manual_chunk|manual_chunk|manual_chunk|qa,물품 반납 관리|물품 반납 관리|물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.3.1_004|manual_manual_chapter3.json_3.3.4_007|manual_manual_chapter3.json_3.2.3_003|qa_0019,"신규 물품 반납 등록 절차는 다음과 같습니다:

1. [물품 반납 관리] 페이지에서 우측 상단의 [등록] 버튼을 눌러 [반납 등록] 페이지로 이동합니다.
2. 상단의 'G2B목록명' 항목 우측의 돋보기 버튼을 클릭하여 팝업에서 품목 분류 및 세부 식별 검색 후 최종 선택하여 G2B 정보를 추가합니다.
3. '운용부서', '운용상태', '물품고유번호', '취득일자', '정리일자' 등을 입력하고 [조회] 버튼을 누릅니다.
4. 하단의 '물품 운용 대장 목록'에서 반납할 물품의 체크박스를 클릭하여 '선택 물품 목록'에 추가합니다.
5. "
qa_020,물품 반납 승인요청과 승인취소는 어떻게 해?,물품 반납 관리,NEED_RAG,물품 반납 승인 요청 및 승인 취소 절차는 어떻게 진행되나요?,25,8,2,manual_chunk|qa,물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.3.2_005|qa_0020,"[물품 반납 관리] 페이지에서 다음 절차를 따르시면 됩니다:

1. 상단의 검색 영역에서 '반납일자'와 '승인상태(전체/대기/반려/확정)'를 입력하여 [조회]합니다.
2. 하단에 뜨는 '반납 등록 목록'에서 승인 요청을 보낼 물품을 선택합니다.
3. 하단의 '반납 물품 목록'에 뜨는 물품들 중 해당하는 물품을 클릭합니다.
4. 우측 상단의 [승인요청] 버튼을 눌러 관리자에게 확정을 요청합니다.

승인취소는 다음과 같이 진행합니다:

1. 요청을 보낸 물품들 중 승인상태가 '대기' 또는 '반려'인 것을 선택합니다.
2. 우측 상단의 "
qa_021,등록한 반납 물품 정보를 수정하려면 어떻게 해?,물품 반납 관리,NEED_RAG,"""등록한 반납 물품 정보 수정 절차""",25,7,2,manual_chunk|qa,물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.3.3_006|qa_0021,"'반납 등록 목록'에서 수정할 물품을 선택한 후 하단에 뜨는 '반납 물품 목록'에서 해당하는 물품을 클릭합니다. 이후 우측 상단의 [수정] 버튼을 클릭하여 [반납 등록] 페이지로 넘어온 후, 하단의 '반납 등록 정보'에서 '반납일자', '등록자ID', '물품상태', '사유' 중 수정할 항목을 수정한 뒤 우측 [저장] 버튼을 누르면 수정사항이 반영됩니다."
qa_022,등록된 물품 반납 목록을 삭제하는 방법은 뭐야?,물품 반납 관리,NEED_RAG,"""등록된 물품 반납 목록 삭제 절차""",25,8,3,manual_chunk|manual_chunk|qa,물품 반납 관리|물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.3.1_004|manual_manual_chapter3.json_3.3.3_006|qa_0022,"'반납 등록 목록'에서 삭제하고자 하는 물품을 선택한 후 하단에 뜨는 '반납 물품 목록'에서 해당하는 물품을 클릭합니다. 그리고 우측 상단의 [삭제] 버튼을 클릭하면 됩니다. 단, 승인상태가 '대기' 혹은 '반려'인 경우에만 삭제할 수 있습니다."
qa_023,관리자가 물품 반납을 확정하는 과정은 어떻게 돼?,물품 반납 관리,NEED_RAG,물품 반납 확정 절차는 어떻게 됩니까?,25,11,2,manual_chunk|qa,물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.3.4_007|qa_0023,"관리자가 물품 반납을 확정하는 과정은 다음과 같습니다:

1. [홈 화면]에서 [관리자]로 접속한 후 [물품 반납 등록 관리] 페이지로 이동합니다.
2. 검색 영역에서 '반납일자'와 '승인상태(전체/대기/반려/확정)'를 입력한 후 [조회]를 눌러 '반납 등록 목록'을 확인합니다.
3. '반납 등록 목록'에서 해당하는 물품의 행을 클릭합니다.
4. 하단에 뜨는 '반납 물품 목록'에서 확정하고자 하는 물품을 클릭합니다.
5. 우측 상단의 [확정] 버튼을 눌러 해당 물품을 반납 확정합니다."
qa_024,물품 반납 목록은 어떻게 조회할 수 있어?,물품 반납 관리,NEED_RAG,물품 반납 목록 조회 방법은 무엇인가요?,25,5,5,manual_chunk|manual_chunk|manual_chunk|manual_chunk|qa,물품 반납 관리|물품 반납 관리|물품 반납 관리|물품 반납 관리|물품 반납 관리,manual_manual_chapter3.json_3.4_008|manual_manual_chapter3.json_3.2.2_002|manual_manual_chapter3.json_3.2.1_001|manual_manual_chapter3.json_3.3.1_004|qa_0024,[물품 반납 관리] 페이지에서 상단의 검색 영역에 '반납일자'와 '승인상태(전체/대기/반려/확정)'를 입력한 후 [조회] 버튼을 클릭합니다. 이후 하단에 표시되는 '반납 등록 목록'에서 해당하는 행을 클릭하면 하단에 뜨는 '반납 물품 목록'을 확인할 수 있습니다.
qa_025,물품 반납 관리 시 유의사항이나 제약사항이 있어?,물품 반납 관리,NEED_RAG,물품 반납 관리 시 유의사항 또는 제약사항은 무엇인가요?,25,7,4,qa|qa|qa|qa,물품 반납 관리|물품 반납 관리|물품 반납 관리|물품 반납 관리,qa_0025|qa_0017|qa_0016|qa_0023,"물품 반납 관리 시 유의사항이나 제약사항은 다음과 같습니다:

1. 물품 정보의 수정 및 삭제는 정보를 입력한 등록자만 가능합니다.
2. 관리자가 이미 '확정' 처리를 한 경우에는 수정이나 삭제 버튼이 비활성화되어 변경할 수 없습니다.
3. 물품 반납 후 운용부서의 값은 '공란' 처리되어야 하며, 이후 새로운 부서로 이동 시 그 부서의 값에 따라 운용부서의 값이 다시 채워져야 합니다.
4. 반납 확정된 물품은 이후 불용 결정 혹은 재배치의 대상이 됩니다."
qa_026,물품 불용 관리가 뭐야?,물품 불용 관리,NEED_RAG,물품 불용 관리 절차는 무엇인가요?,25,25,4,manual_chunk|qa|qa|qa,물품 불용 관리|물품 불용 관리|물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.3.4_007|qa_0033|qa_0026|qa_0029,"물품 불용 관리는 물품을 대장에서 제외하기 위한 관리자의 공식적인 처분 결정으로, 사용할 필요가 없거나 사용할 수 없는 물품을 처분하기 위한 사전 신청 절차입니다. 불용 결정이 완료된 물품은 처분 대상 물품으로 넘어가게 됩니다. [홈 화면]에서 상단의 메뉴 중 [물품 관리]를 클릭한 후, 좌측 리스트 중 [물품 불용 관리]를 클릭하여 [물품 불용 관리] 페이지로 들어갈 수 있습니다."
qa_027,불용 사유에는 어떤 것들이 있어?,물품 불용 관리,NEED_RAG,"""물품 불용 사유 종류""",25,25,5,manual_chunk|manual_chunk|manual_chunk|qa|qa,물품 불용 관리|물품 불용 관리|물품 불용 관리|물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.1_000|manual_manual_chapter5.json_5.1_000|manual_manual_chapter4.json_4.3.1_004|qa_0027|qa_0035,"불용 사유로는 '내용연수 경과', '구형화', '활용부서부재', '수리비용과다'가 존재합니다."
qa_028,불용일자와 불용확정일자의 차이가 뭐야?,물품 불용 관리,NEED_RAG,불용일자와 불용확정일자의 차이점은 무엇인가요?,25,3,3,manual_chunk|qa|qa,물품 불용 관리|물품 불용 관리|물품 반납 관리,manual_manual_chapter4.json_4.1_000|qa_0028|qa_0018,"물품의 불용을 '등록'한 날짜는 '불용일자'이며, 등록한 물품에 대하여 관리자가 불용을 '확정'한 날짜는 '불용확정일자'입니다."
qa_029,신규 물품 불용 등록 절차를 알려줘.,물품 불용 관리,NEED_RAG,신규 물품 불용 등록 절차는 무엇인가요?,25,8,4,manual_chunk|manual_chunk|manual_chunk|qa,물품 불용 관리|물품 불용 관리|물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.3.1_004|manual_manual_chapter4.json_4.2.2_002|manual_manual_chapter4.json_4.4_008|qa_0029,"신규 물품 불용 등록 절차는 다음과 같습니다:

1. **등록 시작**: [물품 불용 관리] 페이지에서 우측 상단의 [등록] 버튼을 눌러 [불용 등록] 페이지로 이동합니다.
2. **G2B 목록번호 조회**: 상단의 'G2B목록명' 우측 돋보기 버튼을 클릭하여 팝업에서 분류 및 식별 검색 후 최종 선택하여 G2B 정보를 추가합니다.
3. **정보 추가 입력**: '운용부서', '운용상태', '물품고유번호', '취득일자', '정리일자' 등을 입력하고 [조회] 버튼을 누릅니다.
4. **물품 선택**: 하단의 '물품 운용 대장 목록'에"
qa_030,물품 불용 승인요청과 승인취소는 어떻게 해?,물품 불용 관리,NEED_RAG,물품 불용 승인 요청 및 승인 취소 절차는 어떻게 되나요?,25,8,2,manual_chunk|qa,물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.3.2_005|qa_0030,"[물품 불용 관리] 페이지에서 다음 절차를 따르시면 됩니다:

1. 상단의 검색 영역에서 '불용일자'와 '승인상태(전체/대기/반려/확정)'를 입력하여 [조회]합니다.
2. 하단에 뜨는 '불용 등록 목록'에서 승인 요청을 보낼 물품을 선택합니다.
3. 하단의 '불용 물품 목록'에 뜨는 물품들 중 해당하는 물품을 클릭합니다.
4. 우측 상단의 [승인요청] 버튼을 눌러 관리자에게 확정을 요청합니다.

승인취소는 다음과 같이 진행합니다:

1. 요청을 보낸 물품들 중 승인상태가 '대기' 또는 '반려'인 것을 선택합니다.
2. 우측 상단의 "
qa_031,등록한 불용 물품 정보를 수정하려면 어떻게 해?,물품 불용 관리,NEED_RAG,불용 물품 정보 수정 절차,25,7,2,manual_chunk|qa,물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.3.3_006|qa_0031,"'불용 등록 목록'에서 수정할 물품을 선택한 후 하단에 뜨는 '불용 물품 목록'에서 해당하는 물품을 클릭하세요. 이후 우측 상단의 [수정] 버튼을 클릭하여 [불용 등록] 페이지로 넘어간 후, 하단의 '불용 등록 정보'에서 '불용일자', '등록자ID', '물품상태', '사유' 중 수정할 항목을 수정한 뒤 우측 [저장] 버튼을 누르면 수정사항이 반영됩니다."
qa_032,등록된 물품 불용 목록을 삭제하는 방법은 뭐야?,물품 불용 관리,NEED_RAG,"""등록된 물품 불용 목록 삭제 절차""",25,8,3,manual_chunk|manual_chunk|qa,물품 불용 관리|물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.3.1_004|manual_manual_chapter4.json_4.4_008|qa_0032,"'불용 등록 목록'에서 삭제하고자 하는 물품을 선택한 후 하단에 뜨는 '불용 물품 목록'에서 해당하는 물품을 클릭합니다. 그리고 우측 상단의 [삭제] 버튼을 클릭하면 됩니다. 단, 승인상태가 '대기' 혹은 '반려'인 경우에만 삭제할 수 있습니다."
qa_033,관리자가 물품 불용을 확정하는 과정은 어떻게 돼?,물품 불용 관리,NEED_RAG,물품 불용 확정 절차는 어떻게 됩니까?,25,11,2,manual_chunk|qa,물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.3.4_007|qa_0033,"관리자가 물품 불용을 확정하는 과정은 다음과 같습니다:

1. [홈 화면]에서 [관리자]로 접속한 후 [물품 불용 등록 관리] 페이지로 이동합니다.
2. 검색 영역에서 '불용일자'와 '승인상태(전체/대기/반려/확정)'를 입력한 후 [조회] 버튼을 눌러 물품을 검색합니다.
3. 하단에 나타나는 '불용 등록 목록'에서 해당하는 물품의 행을 클릭합니다.
4. 하단에 뜨는 '불용 물품 목록'에서 확정하고자 하는 물품을 선택한 후, 우측 상단의 [확정] 버튼을 누릅니다.

이 과정을 통해 해당 물품은 불용 확정이 됩니다."
qa_034,물품 불용 목록은 어떻게 조회할 수 있어?,물품 불용 관리,NEED_RAG,물품 불용 목록 조회 방법은 무엇인가요?,25,6,5,manual_chunk|manual_chunk|manual_chunk|manual_chunk|qa,물품 불용 관리|물품 불용 관리|물품 불용 관리|물품 불용 관리|물품 불용 관리,manual_manual_chapter4.json_4.4_008|manual_manual_chapter4.json_4.2.2_002|manual_manual_chapter4.json_4.2.1_001|manual_manual_chapter4.json_4.3.1_004|qa_0034,[물품 불용 관리] 페이지에서 상단의 검색 영역에 '불용일자'와 '승인상태(전체/대기/반려/확정)'를 입력한 후 [조회] 버튼을 클릭합니다. 이후 하단에 표시되는 '불용 등록 목록'에서 해당하는 행을 클릭하면 하단에 뜨는 '불용 물품 목록'을 확인할 수 있습니다.
qa_035,물품 불용 관리 시 유의사항이나 제약사항이 있어?,물품 불용 관리,NEED_RAG,"""물품 불용 관리 시 유의사항 또는 제약사항""",25,3,3,qa|qa|qa,물품 불용 관리|물품 반납 관리|물품 처분 관리,qa_0035|qa_0025|qa_0045,"물품 불용 관리 시 유의사항 및 제약사항은 다음과 같습니다:

1. 물품의 불용이 확정된 후에는 반드시 처분 과정을 수행해야 합니다.
2. 불용 확정이 되지 않은 물품은 처분 과정을 수행할 수 없습니다.
3. 불용 처리를 하며 입력한 '사유'는 처분에서 나타나는 '사유'와 동일해야 합니다.
4. 불용이 확정된 후 처분으로 넘어가게 돼도 이력은 반드시 남겨야 합니다."
qa_036,물품 처분 관리가 뭐야?,물품 처분 관리,NEED_RAG,물품 처분 관리 절차는 무엇인가요?,25,25,6,manual_chunk|manual_chunk|manual_chunk|qa|qa|qa,물품 처분 관리|물품 처분 관리|물품 처분 관리|물품 처분 관리|물품 처분 관리|물품 처분 관리,manual_manual_chapter5.json_5.3.4_007|manual_manual_chapter5.json_5.3.1_004|manual_manual_chapter5.json_5.2.3_003|qa_0036|qa_0043|qa_0037,"물품 처분 관리는 행정적으로 '불용(사용 중단)'이 확정된 물품에 대하여, 실제로 매각, 폐기, 양여 등의 방법으로 처분을 실행하고 자산 대장에서 최종 제각(삭제)하는 과정입니다. [홈 화면]에서 상단의 메뉴 중 [물품 관리]를 클릭한 후, 이동한 페이지의 좌측 리스트 중 [물품 처분 관리]를 클릭하여 [물품 처분 관리] 페이지로 들어갈 수 있습니다."
qa_037,처분 정리구분에는 어떤 것들이 있어?,물품 처분 관리,NEED_RAG,처분 정리구분의 종류는 무엇인가요?,25,14,6,manual_chunk|manual_chunk|manual_chunk|manual_chunk|faq|qa,물품 불용 관리|물품 처분 관리|물품 처분 관리|물품 불용 관리|처분/폐기|물품 처분 관리,manual_manual_chapter5.json_5.1_000|manual_manual_chapter5.json_5.2.3_003|manual_manual_chapter5.json_5.3.1_004|manual_manual_chapter5.json_5.2.2_002|faq_process_09|qa_0037,"처분 정리구분에는 '폐기', '매각', '멸실/도난'이 있습니다."
qa_038,처분일자와 처분확정일자의 차이가 뭐야?,물품 처분 관리,NEED_RAG,처분일자와 처분확정일자의 차이점은 무엇인가요?,25,12,5,manual_chunk|manual_chunk|faq|qa|qa,물품 불용 관리|사용주기 AI 예측|처분/폐기|물품 처분 관리|물품 반납 관리,manual_manual_chapter5.json_5.1_000|manual_manual_chapter8.json_8.4_006|faq_process_09|qa_0038|qa_0018,"물품의 불용이 확정되어 처분으로 '등록'된 날짜는 '처분일자'이며, 등록한 물품에 대하여 관리자가 처분을 '확정'한 날짜는 '처분확정일자'입니다."
qa_039,신규 물품 처분 등록 절차를 알려줘.,물품 처분 관리,NEED_RAG,신규 물품 처분 등록 절차는 무엇인가요?,25,12,4,manual_chunk|manual_chunk|manual_chunk|qa,물품 처분 관리|물품 처분 관리|물품 처분 관리|물품 처분 관리,manual_manual_chapter5.json_5.3.1_004|manual_manual_chapter5.json_5.3.4_007|manual_manual_chapter5.json_5.2.3_003|qa_0039,"신규 물품 처분 등록 절차는 다음과 같습니다:

1. [물품 처분 관리] 페이지에서 우측 상단의 [등록] 버튼을 눌러 [처분 등록] 페이지로 이동합니다.
2. 상단의 'G2B목록명' 항목 우측 돋보기 버튼을 클릭하여 팝업에서 분류 및 식별 검색 후 최종 선택하여 G2B 정보를 추가합니다.
3. '운용부서', '운용상태', '물품고유번호', '취득일자', '정리일자' 등을 입력하고 [조회] 버튼을 누릅니다.
4. 하단의 '불용 물품 목록'에서 처분 처리를 할 물품의 체크박스를 클릭하여 '선택 물품 목록'에 추가합니다.
5. 최종 처분"
